Fordham Username,Year,Used Online Marketplace,Frequency of Use,Encountered Issues,Trust Level,Exclusive Marketplace for Fordham Students,Features for Trust,Likelihood of Using Fordham Marketplace,Reason for Likelihood
user2791,Junior,"No, I have never used an online marketplace",A few times a year,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; None of the above,5,Yes,In-app messaging to initiate transactions; Other (Please describe),Very unlikely,Exclusive marketplace provides assurance.
user4851,Freshman,"Yes, I have bought items",Rarely,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions,4,Yes,Ratings and reviews for buyers and sellers; Pay for products in person; In-app messaging to initiate transactions; Other (Please describe); Mandatory university email verification for all users,Somewhat unlikely,University-specific marketplace feels safer.
user7439,Graduate Student,"Yes, I have bought items",Once a month,None of the above; Difficulty verifying product authenticity or quality,5,Yes,In-app messaging to initiate transactions; Mandatory university email verification for all users; Other (Please describe),Somewhat likely,Fordham-exclusive marketplace provides a sense of security.
user7057,Senior,"Yes, I have bought items",Rarely,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; None of the above,4,No,Ratings and reviews for buyers and sellers; Pay for products in person; In-app messaging to initiate transactions,Very likely,Fordham-exclusive marketplace provides a sense of security.
user3907,Freshman,"No, I have never used an online marketplace",More than once a month,Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,1,No,Pay for products in person; Mandatory university email verification for all users,Neutral,University affiliation adds a layer of trust.
user444,Senior,"Yes, I have bought items",Never,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Transactions falling through due to lack of trust,4,Yes,Mandatory university email verification for all users; Pay for products in person; Other (Please describe),Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user4987,Junior,"Yes, I have both bought and sold items",Rarely,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,4,Unsure,Ratings and reviews for buyers and sellers; Pay for products in person; In-app messaging to initiate transactions; Mandatory university email verification for all users; Other (Please describe),Somewhat likely,University affiliation adds a layer of trust.
user233,Junior,"No, I have never used an online marketplace",Rarely,Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; Transactions falling through due to lack of trust; None of the above; Unsafe or uncomfortable interactions with buyers or sellers,5,Unsure,Pay for products in person; Mandatory university email verification for all users; Other (Please describe); Ratings and reviews for buyers and sellers,Very likely,University affiliation adds a layer of trust.
user5644,Senior,"Yes, I have both bought and sold items",Once a month,Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust; None of the above,4,Yes,Ratings and reviews for buyers and sellers; Other (Please describe),Somewhat likely,Trust features are crucial for me.
user8497,Senior,"Yes, I have both bought and sold items",More than once a month,Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust,4,Unsure,Mandatory university email verification for all users,Somewhat unlikely,University-specific marketplace feels safer.
user6612,Junior,"No, I have never used an online marketplace",A few times a year,Scams or fraudulent transactions,5,Yes,In-app messaging to initiate transactions; Other (Please describe); Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Pay for products in person,Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user8661,Graduate Student,"Yes, I have bought items",Never,Transactions falling through due to lack of trust; None of the above,2,No,Ratings and reviews for buyers and sellers; Other (Please describe); Pay for products in person; In-app messaging to initiate transactions; Mandatory university email verification for all users,Very likely,University affiliation adds a layer of trust.
user4412,Sophomore,"Yes, I have both bought and sold items",Never,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,2,Yes,Mandatory university email verification for all users,Very unlikely,Fordham-exclusive marketplace provides a sense of security.
user6466,Sophomore,"Yes, I have sold items",A few times a year,Difficulty verifying product authenticity or quality,1,No,In-app messaging to initiate transactions; Mandatory university email verification for all users,Neutral,University-specific marketplace feels safer.
user1195,Freshman,"No, I have never used an online marketplace",Once a month,None of the above; Scams or fraudulent transactions; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,Pay for products in person,Neutral,University-specific marketplace feels safer.
user1744,Freshman,"Yes, I have both bought and sold items",A few times a year,None of the above; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,4,Unsure,Other (Please describe); Ratings and reviews for buyers and sellers,Somewhat likely,University affiliation adds a layer of trust.
user7449,Sophomore,"Yes, I have sold items",Never,Scams or fraudulent transactions; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above,5,Unsure,Other (Please describe); Mandatory university email verification for all users,Somewhat likely,University affiliation adds a layer of trust.
user7590,Senior,"Yes, I have both bought and sold items",Once a month,None of the above; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust,1,Yes,Pay for products in person; Other (Please describe); Ratings and reviews for buyers and sellers,Neutral,Trust features are crucial for me.
user7136,Graduate Student,"Yes, I have both bought and sold items",Never,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,In-app messaging to initiate transactions,Very unlikely,University-specific marketplace feels safer.
user4036,Freshman,"No, I have never used an online marketplace",More than once a month,Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Scams or fraudulent transactions; None of the above; Unsafe or uncomfortable interactions with buyers or sellers,2,No,Mandatory university email verification for all users; In-app messaging to initiate transactions; Other (Please describe),Somewhat likely,University affiliation adds a layer of trust.
user4020,Graduate Student,"Yes, I have sold items",Once a month,Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust; Scams or fraudulent transactions,4,Yes,Pay for products in person; In-app messaging to initiate transactions,Very unlikely,Exclusive marketplace provides assurance.
user2096,Sophomore,"Yes, I have sold items",Never,Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Difficulty verifying product authenticity or quality,3,Yes,In-app messaging to initiate transactions; Other (Please describe); Ratings and reviews for buyers and sellers; Mandatory university email verification for all users,Very unlikely,Fordham-exclusive marketplace provides a sense of security.
user8054,Junior,"No, I have never used an online marketplace",Rarely,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust,2,No,Mandatory university email verification for all users,Somewhat unlikely,University-specific marketplace feels safer.
user8012,Freshman,"Yes, I have sold items",Rarely,Scams or fraudulent transactions; Transactions falling through due to lack of trust; None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality,4,No,Ratings and reviews for buyers and sellers,Very unlikely,University affiliation adds a layer of trust.
user2028,Senior,"Yes, I have both bought and sold items",More than once a month,Difficulty verifying product authenticity or quality; None of the above; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust,2,Yes,Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Mandatory university email verification for all users; Other (Please describe),Very unlikely,University-specific marketplace feels safer.
user8843,Graduate Student,"Yes, I have sold items",More than once a month,None of the above; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions,4,Unsure,Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Mandatory university email verification for all users,Somewhat unlikely,University-specific marketplace feels safer.
user5651,Senior,"Yes, I have bought items",Once a month,None of the above; Difficulty verifying product authenticity or quality,3,Yes,Ratings and reviews for buyers and sellers; Other (Please describe); Mandatory university email verification for all users,Neutral,University-specific marketplace feels safer.
user5724,Graduate Student,"Yes, I have both bought and sold items",Once a month,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,5,No,Pay for products in person,Somewhat unlikely,University affiliation adds a layer of trust.
user1283,Junior,"Yes, I have both bought and sold items",Rarely,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions,1,Unsure,Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Mandatory university email verification for all users; Pay for products in person,Neutral,University affiliation adds a layer of trust.
user7631,Sophomore,"Yes, I have both bought and sold items",More than once a month,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers,4,No,Pay for products in person; Mandatory university email verification for all users,Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user5133,Graduate Student,"Yes, I have both bought and sold items",Once a month,Difficulty verifying product authenticity or quality; None of the above; Transactions falling through due to lack of trust,5,Unsure,Other (Please describe); Mandatory university email verification for all users,Very unlikely,University-specific marketplace feels safer.
user264,Sophomore,"Yes, I have both bought and sold items",A few times a year,None of the above; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust,2,Unsure,Pay for products in person; Ratings and reviews for buyers and sellers; Other (Please describe); Mandatory university email verification for all users; In-app messaging to initiate transactions,Neutral,University-specific marketplace feels safer.
user2968,Graduate Student,"Yes, I have both bought and sold items",Once a month,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality,2,Unsure,Other (Please describe),Very unlikely,Fordham-exclusive marketplace provides a sense of security.
user2778,Senior,"Yes, I have sold items",Rarely,Scams or fraudulent transactions,2,Yes,Mandatory university email verification for all users; Pay for products in person; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Other (Please describe),Somewhat likely,University-specific marketplace feels safer.
user1041,Graduate Student,"Yes, I have bought items",More than once a month,Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; Transactions falling through due to lack of trust,2,No,Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; In-app messaging to initiate transactions,Neutral,Exclusive marketplace provides assurance.
user2441,Sophomore,"Yes, I have bought items",Once a month,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Difficulty verifying product authenticity or quality,2,No,Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; Pay for products in person; In-app messaging to initiate transactions; Other (Please describe),Neutral,University affiliation adds a layer of trust.
user2096,Junior,"Yes, I have bought items",Never,Transactions falling through due to lack of trust; Scams or fraudulent transactions; None of the above; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,5,No,Other (Please describe); Ratings and reviews for buyers and sellers,Very unlikely,Fordham-exclusive marketplace provides a sense of security.
user5679,Junior,"Yes, I have sold items",Rarely,Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust; None of the above,2,Yes,Pay for products in person,Somewhat likely,Exclusive marketplace provides assurance.
user6796,Freshman,"Yes, I have bought items",More than once a month,None of the above,4,Yes,Ratings and reviews for buyers and sellers; Pay for products in person,Very unlikely,University affiliation adds a layer of trust.
user7977,Sophomore,"Yes, I have sold items",A few times a year,Transactions falling through due to lack of trust,5,Yes,Mandatory university email verification for all users,Very unlikely,Trust features are crucial for me.
user6313,Graduate Student,"Yes, I have both bought and sold items",Once a month,Difficulty verifying product authenticity or quality; None of the above,1,Unsure,In-app messaging to initiate transactions; Mandatory university email verification for all users,Somewhat likely,Fordham-exclusive marketplace provides a sense of security.
user444,Sophomore,"Yes, I have both bought and sold items",Rarely,Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; None of the above; Scams or fraudulent transactions,3,Unsure,Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Very unlikely,University affiliation adds a layer of trust.
user1233,Freshman,"No, I have never used an online marketplace",Never,Scams or fraudulent transactions,3,Unsure,Ratings and reviews for buyers and sellers; Other (Please describe); Mandatory university email verification for all users,Somewhat unlikely,Trust features are crucial for me.
user2749,Junior,"Yes, I have both bought and sold items",A few times a year,Transactions falling through due to lack of trust; None of the above,2,Yes,Other (Please describe); Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Somewhat likely,University-specific marketplace feels safer.
user8671,Junior,"Yes, I have both bought and sold items",Never,Transactions falling through due to lack of trust; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,1,Unsure,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; Pay for products in person; Other (Please describe),Somewhat unlikely,Trust features are crucial for me.
user6060,Sophomore,"Yes, I have both bought and sold items",Once a month,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; None of the above,2,Yes,Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Pay for products in person; Other (Please describe),Somewhat likely,University affiliation adds a layer of trust.
user9217,Sophomore,"Yes, I have both bought and sold items",A few times a year,Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,1,No,Ratings and reviews for buyers and sellers; Pay for products in person; Mandatory university email verification for all users; In-app messaging to initiate transactions; Other (Please describe),Very unlikely,University affiliation adds a layer of trust.
user18,Freshman,"Yes, I have both bought and sold items",A few times a year,Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; None of the above,4,No,Mandatory university email verification for all users,Very likely,University-specific marketplace feels safer.
user6662,Freshman,"Yes, I have sold items",Rarely,Transactions falling through due to lack of trust,4,Unsure,Mandatory university email verification for all users; Other (Please describe); In-app messaging to initiate transactions,Somewhat likely,Trust features are crucial for me.
user360,Freshman,"Yes, I have both bought and sold items",More than once a month,Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Difficulty verifying product authenticity or quality,2,Unsure,Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; Other (Please describe),Somewhat unlikely,University-specific marketplace feels safer.
user6617,Graduate Student,"Yes, I have bought items",Once a month,Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Transactions falling through due to lack of trust; None of the above,4,Unsure,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Somewhat unlikely,Trust features are crucial for me.
user7163,Junior,"Yes, I have bought items",More than once a month,None of the above; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers,5,Yes,Other (Please describe); In-app messaging to initiate transactions; Pay for products in person; Ratings and reviews for buyers and sellers; Mandatory university email verification for all users,Neutral,Exclusive marketplace provides assurance.
user3966,Graduate Student,"Yes, I have bought items",Never,Transactions falling through due to lack of trust,5,Yes,Other (Please describe); Pay for products in person; In-app messaging to initiate transactions,Neutral,Exclusive marketplace provides assurance.
user4274,Graduate Student,"No, I have never used an online marketplace",Never,None of the above; Scams or fraudulent transactions,5,Unsure,In-app messaging to initiate transactions,Very likely,Trust features are crucial for me.
user4770,Junior,"No, I have never used an online marketplace",Never,None of the above; Scams or fraudulent transactions,5,Unsure,Mandatory university email verification for all users,Very unlikely,University-specific marketplace feels safer.
user2193,Junior,"Yes, I have bought items",A few times a year,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,Mandatory university email verification for all users; Other (Please describe); Ratings and reviews for buyers and sellers; Pay for products in person,Neutral,Trust features are crucial for me.
user3036,Junior,"Yes, I have sold items",Never,Transactions falling through due to lack of trust,1,Yes,Other (Please describe); In-app messaging to initiate transactions; Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Pay for products in person,Somewhat unlikely,Exclusive marketplace provides assurance.
user1352,Senior,"Yes, I have sold items",Never,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions,5,No,Other (Please describe); Mandatory university email verification for all users; Pay for products in person; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Somewhat unlikely,Exclusive marketplace provides assurance.
user6562,Senior,"No, I have never used an online marketplace",Never,None of the above; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust,3,Unsure,Pay for products in person; Other (Please describe); Ratings and reviews for buyers and sellers,Somewhat unlikely,Trust features are crucial for me.
user4209,Senior,"Yes, I have sold items",Never,Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Transactions falling through due to lack of trust; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,3,Yes,Mandatory university email verification for all users; Pay for products in person; Ratings and reviews for buyers and sellers; Other (Please describe),Very likely,Fordham-exclusive marketplace provides a sense of security.
user519,Junior,"No, I have never used an online marketplace",A few times a year,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,4,Unsure,Ratings and reviews for buyers and sellers; Other (Please describe),Very unlikely,University affiliation adds a layer of trust.
user1867,Senior,"Yes, I have bought items",Rarely,Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; None of the above; Transactions falling through due to lack of trust,1,Yes,Pay for products in person; In-app messaging to initiate transactions; Mandatory university email verification for all users; Other (Please describe); Ratings and reviews for buyers and sellers,Very unlikely,Exclusive marketplace provides assurance.
user2487,Senior,"No, I have never used an online marketplace",A few times a year,Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Scams or fraudulent transactions,2,Yes,Pay for products in person; In-app messaging to initiate transactions; Other (Please describe),Very likely,Exclusive marketplace provides assurance.
user4514,Sophomore,"No, I have never used an online marketplace",A few times a year,Scams or fraudulent transactions; None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust,1,Yes,Pay for products in person; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Very unlikely,Exclusive marketplace provides assurance.
user524,Junior,"Yes, I have bought items",Never,Transactions falling through due to lack of trust; None of the above; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,3,No,In-app messaging to initiate transactions,Somewhat likely,Fordham-exclusive marketplace provides a sense of security.
user4194,Graduate Student,"Yes, I have sold items",More than once a month,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; None of the above,4,Yes,In-app messaging to initiate transactions,Somewhat unlikely,Exclusive marketplace provides assurance.
user6446,Sophomore,"Yes, I have both bought and sold items",Rarely,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above,5,Unsure,Mandatory university email verification for all users; Pay for products in person; Other (Please describe),Very likely,Fordham-exclusive marketplace provides a sense of security.
user7413,Senior,"Yes, I have bought items",More than once a month,Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; None of the above; Unsafe or uncomfortable interactions with buyers or sellers,4,Unsure,Other (Please describe); In-app messaging to initiate transactions; Mandatory university email verification for all users,Neutral,Trust features are crucial for me.
user487,Senior,"No, I have never used an online marketplace",Once a month,Difficulty verifying product authenticity or quality; None of the above; Scams or fraudulent transactions; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Pay for products in person,Very likely,Fordham-exclusive marketplace provides a sense of security.
user5750,Sophomore,"Yes, I have both bought and sold items",A few times a year,Unsafe or uncomfortable interactions with buyers or sellers,5,Yes,Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Very unlikely,Exclusive marketplace provides assurance.
user6957,Freshman,"Yes, I have sold items",Rarely,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; None of the above; Unsafe or uncomfortable interactions with buyers or sellers,4,No,Ratings and reviews for buyers and sellers; Pay for products in person; Mandatory university email verification for all users; In-app messaging to initiate transactions,Somewhat likely,University-specific marketplace feels safer.
user8549,Sophomore,"Yes, I have bought items",Once a month,Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality; None of the above,3,No,Ratings and reviews for buyers and sellers,Somewhat likely,Exclusive marketplace provides assurance.
user7969,Freshman,"No, I have never used an online marketplace",Rarely,Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; None of the above; Transactions falling through due to lack of trust; Scams or fraudulent transactions,5,Unsure,Mandatory university email verification for all users,Somewhat unlikely,University-specific marketplace feels safer.
user8455,Senior,"Yes, I have bought items",Once a month,Transactions falling through due to lack of trust; None of the above,1,Yes,Mandatory university email verification for all users; Other (Please describe); Ratings and reviews for buyers and sellers; Pay for products in person; In-app messaging to initiate transactions,Somewhat likely,Fordham-exclusive marketplace provides a sense of security.
user9570,Senior,"Yes, I have bought items",Once a month,None of the above; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust,3,Yes,Other (Please describe); Pay for products in person; Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; In-app messaging to initiate transactions,Very likely,Exclusive marketplace provides assurance.
user7962,Sophomore,"No, I have never used an online marketplace",Once a month,Difficulty verifying product authenticity or quality,2,No,Other (Please describe); Pay for products in person; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Somewhat likely,Trust features are crucial for me.
user8215,Freshman,"Yes, I have sold items",More than once a month,None of the above; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,4,No,Ratings and reviews for buyers and sellers; Pay for products in person; Other (Please describe),Neutral,Fordham-exclusive marketplace provides a sense of security.
user9876,Graduate Student,"Yes, I have sold items",A few times a year,Difficulty verifying product authenticity or quality; None of the above; Scams or fraudulent transactions,5,Unsure,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Other (Please describe),Very unlikely,Trust features are crucial for me.
user4304,Sophomore,"Yes, I have both bought and sold items",Rarely,Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,4,Yes,Other (Please describe); In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; Pay for products in person,Neutral,University affiliation adds a layer of trust.
user5056,Graduate Student,"No, I have never used an online marketplace",Once a month,Unsafe or uncomfortable interactions with buyers or sellers,5,Unsure,Ratings and reviews for buyers and sellers,Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user9720,Senior,"Yes, I have sold items",Once a month,None of the above; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust,1,Yes,Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Other (Please describe),Very unlikely,Trust features are crucial for me.
user9282,Graduate Student,"Yes, I have bought items",More than once a month,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above,5,Yes,Pay for products in person; Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Very likely,Fordham-exclusive marketplace provides a sense of security.
user532,Graduate Student,"Yes, I have sold items",Never,Transactions falling through due to lack of trust,4,No,Pay for products in person; Ratings and reviews for buyers and sellers; Mandatory university email verification for all users,Somewhat likely,Trust features are crucial for me.
user9146,Sophomore,"Yes, I have bought items",Never,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,5,Yes,Other (Please describe); Mandatory university email verification for all users; Pay for products in person; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Somewhat likely,University affiliation adds a layer of trust.
user7382,Graduate Student,"Yes, I have bought items",More than once a month,None of the above; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; Transactions falling through due to lack of trust,5,Unsure,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Neutral,Exclusive marketplace provides assurance.
user2404,Junior,"Yes, I have sold items",Once a month,None of the above; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers,3,Unsure,Pay for products in person,Somewhat likely,Trust features are crucial for me.
user8088,Senior,"Yes, I have both bought and sold items",More than once a month,None of the above; Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,2,Yes,Pay for products in person; Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Very unlikely,University-specific marketplace feels safer.
user4145,Junior,"Yes, I have both bought and sold items",Rarely,Transactions falling through due to lack of trust; None of the above; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers,2,Yes,In-app messaging to initiate transactions; Mandatory university email verification for all users; Ratings and reviews for buyers and sellers,Very unlikely,Fordham-exclusive marketplace provides a sense of security.
user4544,Junior,"Yes, I have sold items",Never,Transactions falling through due to lack of trust; None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Scams or fraudulent transactions,3,Unsure,Mandatory university email verification for all users; Pay for products in person; Other (Please describe),Very likely,Fordham-exclusive marketplace provides a sense of security.
user2117,Freshman,"No, I have never used an online marketplace",Never,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,5,Yes,Mandatory university email verification for all users,Neutral,Fordham-exclusive marketplace provides a sense of security.
user4660,Junior,"Yes, I have sold items",Rarely,None of the above,1,Unsure,Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; Other (Please describe); In-app messaging to initiate transactions,Somewhat unlikely,Fordham-exclusive marketplace provides a sense of security.
user9131,Junior,"Yes, I have bought items",Once a month,Transactions falling through due to lack of trust,2,Unsure,Pay for products in person; Other (Please describe); Ratings and reviews for buyers and sellers; Mandatory university email verification for all users,Somewhat likely,University-specific marketplace feels safer.
user895,Graduate Student,"Yes, I have bought items",Rarely,Scams or fraudulent transactions; None of the above,3,Unsure,Ratings and reviews for buyers and sellers; Mandatory university email verification for all users; In-app messaging to initiate transactions; Pay for products in person; Other (Please describe),Very likely,University-specific marketplace feels safer.
user9252,Freshman,"Yes, I have both bought and sold items",More than once a month,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Transactions falling through due to lack of trust,5,Unsure,Other (Please describe); Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions; Mandatory university email verification for all users; Pay for products in person,Neutral,Trust features are crucial for me.
user8725,Senior,"No, I have never used an online marketplace",Once a month,Transactions falling through due to lack of trust,1,Unsure,Mandatory university email verification for all users; In-app messaging to initiate transactions,Very likely,University-specific marketplace feels safer.
user6176,Graduate Student,"No, I have never used an online marketplace",Never,Difficulty verifying product authenticity or quality; None of the above,1,Yes,Ratings and reviews for buyers and sellers; Pay for products in person,Neutral,Exclusive marketplace provides assurance.
user9960,Freshman,"Yes, I have both bought and sold items",More than once a month,Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,1,Unsure,Ratings and reviews for buyers and sellers; Other (Please describe); Mandatory university email verification for all users; In-app messaging to initiate transactions,Neutral,Fordham-exclusive marketplace provides a sense of security.
user3321,Junior,"Yes, I have bought items",More than once a month,Scams or fraudulent transactions; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; None of the above,2,Yes,In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Pay for products in person; Mandatory university email verification for all users; Other (Please describe),Neutral,Fordham-exclusive marketplace provides a sense of security.
user8540,Senior,"No, I have never used an online marketplace",More than once a month,None of the above,1,Yes,Mandatory university email verification for all users,Neutral,University affiliation adds a layer of trust.
user6896,Graduate Student,"Yes, I have both bought and sold items",Rarely,Scams or fraudulent transactions; Transactions falling through due to lack of trust; None of the above; Unsafe or uncomfortable interactions with buyers or sellers,5,Yes,Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; In-app messaging to initiate transactions,Very likely,Trust features are crucial for me.
user5300,Senior,"Yes, I have sold items",Once a month,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions,5,Yes,Other (Please describe); Pay for products in person; Ratings and reviews for buyers and sellers,Somewhat likely,Fordham-exclusive marketplace provides a sense of security.
