Fordham Username,Year,Used Online Marketplace,Frequency of Use,Encountered Issues,Trust Level,Exclusive Marketplace for Fordham Students,Features for Trust,Likelihood of Using Fordham Marketplace,Reason for Likelihood
user134,Sophomore,Yes,More than once a month,Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in the university's platform.
user135,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user136,Senior,Yes,Once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user137,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Previous positive experiences.
user138,Sophomore,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user139,Junior,Yes,Once a month,Scams or fraudulent transactions,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user140,Senior,Yes,More than once a month,Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Community trust.
user141,Freshman,No,Never,None,2,Yes,,,Concerns about privacy.
user142,Sophomore,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Platform's reliability.
user143,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user144,Senior,Yes,Once a month,Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user145,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Difficulty verifying product authenticity or quality,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in the university's community.
user146,Sophomore,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Platform's reputation.
user147,Junior,Yes,Rarely,Scams or fraudulent transactions;Transactions falling through due to lack of trust,2,Yes,"Mandatory university email verification for all users",Somewhat likely,
user148,Senior,No,Never,None,3,No,,,I prefer in-person transactions.
user149,Freshman,Yes,Once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user150,Sophomore,Yes,More than once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user151,Junior,Yes,More than once a month,Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user152,Senior,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user153,Freshman,Yes,Once a month,Scams or fraudulent transactions,2,Yes,"Mandatory university email verification for all users",Neutral,
user154,Sophomore,Yes,More than once a month,Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in the university's platform.
user155,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user156,Senior,Yes,Once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user157,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Previous positive experiences.
user158,Sophomore,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user159,Junior,Yes,Once a month,Scams or fraudulent transactions,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user160,Senior,Yes,More than once a month,Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Community trust.
user161,Freshman,No,Never,None,2,Yes,,,Concerns about privacy.
user162,Sophomore,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Platform's reliability.
user163,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user164,Senior,Yes,Once a month,Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user165,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Difficulty verifying product authenticity or quality,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in the university's community.
user166,Sophomore,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Platform's reputation.
user167,Junior,Yes,Rarely,Scams or fraudulent transactions;Transactions falling through due to lack of trust,2,Yes,"Mandatory university email verification for all users",Somewhat likely,
user168,Senior,No,Never,None,3,No,,,I prefer in-person transactions.
user169,Freshman,Yes,Once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user170,Sophomore,Yes,More than once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user171,Junior,Yes,More than once a month,Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user172,Senior,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user173,Freshman,Yes,Once a month,Scams or fraudulent transactions,2,Yes,"Mandatory university email verification for all users",Neutral,
user174,Sophomore,Yes,More than once a month,Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in the university's platform.
user175,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user176,Senior,Yes,Once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user177,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Previous positive experiences.
user178,Sophomore,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user179,Junior,Yes,Once a month,Scams or fraudulent transactions,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user180,Senior,Yes,More than once a month,Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Community trust.
user181,Freshman,No,Never,None,2,Yes,,,Concerns about privacy.
user182,Sophomore,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Platform's reliability.
user183,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user184,Senior,Yes,Once a month,Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user185,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Difficulty verifying product authenticity or quality,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in the university's community.
user186,Sophomore,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Platform's reputation.
user187,Junior,Yes,Rarely,Scams or fraudulent transactions;Transactions falling through due to lack of trust,2,Yes,"Mandatory university email verification for all users",Somewhat likely,
user188,Senior,No,Never,None,3,No,,,I prefer in-person transactions.
user189,Freshman,Yes,Once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user190,Sophomore,Yes,More than once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user191,Junior,Yes,More than once a month,Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user192,Senior,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user193,Freshman,Yes,Once a month,Scams or fraudulent transactions,2,Yes,"Mandatory university email verification for all users",Neutral,
user194,Sophomore,Yes,More than once a month,Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in the university's platform.
user195,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user196,Senior,Yes,Once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user197,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Previous positive experiences.
user198,Sophomore,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user199,Junior,Yes,Once a month,Scams or fraudulent transactions,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user200,Senior,Yes,More than once a month,Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Community trust.
user201,Graduate Student,Yes,More than once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in university system.
user202,Graduate Student,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Platform's reliability.
user203,Graduate Student,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user204,Graduate Student,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user205,Graduate Student,Yes,Once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user206,Graduate Student,Yes,More than once a month,Scams or fraudulent transactions,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user207,Graduate Student,Yes,More than once a month,Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user208,Graduate Student,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user209,Graduate Student,Yes,Once a month,Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Community trust.
user210,Graduate Student,No,Never,None,2,No,,,Preference for in-person transactions.
user211,Graduate Student,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in university system.
user212,Graduate Student,Yes,Once a month,Scams or fraudulent transactions,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user213,Graduate Student,Yes,More than once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user214,Graduate Student,Yes,A few times a year,Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in university system.
user215,Graduate Student,No,Never,None,3,Yes,,,I prefer in-person transactions.
user216,Graduate Student,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Previous positive experiences.
user217,Graduate Student,Yes,Once a month,Scams or fraudulent transactions,2,Yes,"Mandatory university email verification for all users",Neutral,
user218,Graduate Student,Yes,More than once a month,Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in university system.
user219,Graduate Student,Yes,A few times a year,Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user220,Graduate Student,Yes,Once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user221,Graduate Student,Yes,More than once a month,Scams or fraudulent transactions,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user222,Graduate Student,Yes,More than once a month,Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user223,Graduate Student,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user224,Graduate Student,Yes,Once a month,Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Community trust.
user225,Graduate Student,No,Never,None,2,No,,,I prefer in-person transactions.
ble6,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,The additional security measures make me feel more comfortable.
mpham23,Freshman,Yes,A few times a year,Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; Pay for products in person.; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
jshin40,Junior,Yes,Rarely,Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,2,Yes,"Mandatory university email verification for all users",Somewhat likely,
vchan28,Sophomore,No,Never,None,3,No,,,I haven't felt the need to use one.
tnguyen14,Senior,Yes,Once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
jdoe22,Senior,Yes,A few times a year,"Scams or fraudulent transactions;Difficulty verifying product authenticity or quality",2,Yes,"Mandatory university email verification for all users;Ratings and reviews for buyers and sellers",Somewhat likely,I would feel more secure knowing it's limited to Fordham students.
asmith18,Freshman,No,Never,None,4,Unsure,"In-app messaging to initiate transactions;Pay for products in person.",Neutral,I'm not sure if I would use it since I haven't used online marketplaces before.
mjohnson31,Junior,Yes,Rarely,Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users;Moderation and support from the marketplace team",Somewhat unlikely,I prefer to buy and sell items in person.
twilson27,Sophomore,Yes,Once a month,"Unsafe or uncomfortable interactions with buyers or sellers;Difficulty verifying product authenticity or quality",1,Yes,"Mandatory university email verification for all users;In-app messaging to initiate transactions;Ratings and reviews for buyers and sellers;Moderation and support from the marketplace team",Very likely,I would feel much safer using a Fordham-specific marketplace with these features.
rbrown09,Senior,Yes,More than once a month,Scams or fraudulent transactions,4,No,"Pay for products in person.",Somewhat likely,I like the convenience of online marketplaces but prefer to pay in person.
emiller15,Freshman,No,Never,None,3,Yes,"Mandatory university email verification for all users;Ratings and reviews for buyers and sellers",Very likely,I would be more likely to try an online marketplace if it was Fordham-specific.
kdavis37,Junior,Yes,A few times a year,Difficulty verifying product authenticity or quality,2,Yes,"Mandatory university email verification for all users;In-app messaging to initiate transactions;Moderation and support from the marketplace team",Somewhat likely,The added security measures are appealing but I'm still a bit wary.
cgarcia24,Sophomore,Yes,Rarely,"Scams or fraudulent transactions;Transactions falling through due to lack of trust",1,Unsure,"Mandatory university email verification for all users;Pay for products in person.;Ratings and reviews for buyers and sellers",Neutral,I've had bad experiences with online marketplaces but the Fordham-specific features might change my mind.
llee12,Senior,Yes,Once a month,None,5,No,None,Somewhat unlikely,I'm satisfied with the online marketplaces I currently use.
nwhite08,Freshman,No,Never,None,4,Yes,"Mandatory university email verification for all users;In-app messaging to initiate transactions;Pay for products in person.",Very likely,I would feel very comfortable using a Fordham-specific marketplace for my first online marketplace experience.
